monitoring_location,stn_code,latitude,longitude,geocode_query,geocoded
2636,GEN-C61FBE,30.8201912,77.2390968,"2636, Himachal Pradesh, India",True
2637,GEN-C60D87,30.8201912,77.2390968,"2637, Himachal Pradesh, India",True
2638,GEN-06C284,30.8201912,77.2390968,"2638, Himachal Pradesh, India",True
2640,GEN-9A5748,30.8201912,77.2390968,"2640, Himachal Pradesh, India",True
2645,GEN-A7789E,30.8201912,77.2390968,"2645, Himachal Pradesh, India",True
2646,GEN-F2E43F,30.8201912,77.2390968,"2646, Himachal Pradesh, India",True
2647,GEN-0B7E92,30.8201912,77.2390968,"2647, Himachal Pradesh, India",True
2648,GEN-EB06B9,30.8201912,77.2390968,"2648, Himachal Pradesh, India",True
Himachal Pradesh,"SURAJMUKHI NALLAH U/S DWSS
GALAYANA NEAR M/S SHOOL",31.2849567,76.7829197,"himachal pradesh, Himachal Pradesh, India",True
"Beas At D/S Dehragopipur, H.P.",1008,31.1149319,77.101821,"h.p., Himachal Pradesh, India",True
"River Beas D/S Nadaun Bridge, Vill Bhadoli",3855,31.1711524,77.6802707,"bhadoli, Himachal Pradesh, India",True
"River Sirsa , D/S Nalagarh Bridge, H.P",1552,31.1059814,76.6567018,"nalagarh, Himachal Pradesh, India",True
"Tons River, H.P",1510,30.7006048,77.7509359,"tons river, Himachal Pradesh, India",True
Ashwani At U/S Yashwant Nagar,2620,32.1135887,77.171316,"nagar, Himachal Pradesh, India",True
Batta At U/S Paonta,2626,30.4384439,77.6211774,"paonta, Himachal Pradesh, India",True
Batta Before Confluence To Yamuna,2627,31.1300882,77.1700544,"yamuna, Himachal Pradesh, India",True
Giri At D/S Yashwant Nagar,2621,32.1135887,77.171316,"nagar, Himachal Pradesh, India",True
Giri At U/S Cci Mines,2622,31.8039745,76.9495803,"mines, Himachal Pradesh, India",True
Pabbar At U/S Dhambari,2617,,,,False
Pabbar At U/S Rohru,2618,31.1973022,77.7463562,"pabbar rohru, Himachal Pradesh, India",True
