stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
1170,Krishna At D/S Of Devasagar Bdg.,River,KARNATAKA,2017,Unsafe,7.15,High Fecal Coliform,28.5,7.1,7.975,889.0,,0.255,1020.0,2050.0,
1028,"Krishna At Tintini Bridge,",River,KARNATAKA,2017,Unsafe,4.15,High Fecal Coliform,28.0,7.1,7.975,648.0,,0.29,560.0,1350.0,
2781,"Krishna At D/S Of Alamatti Dam,",River,KARNATAKA,2017,Safe,6.21,None,32.0,9.2,7.9,850.0,1.5,12.35,490.0,1155.0,
1183,"Bhima At D/S Of Road Bridge At Gangapur Village,",River,KARNATAKA,2017,Unsafe,9.14,High Fecal Coliform,28.0,6.75,8.38,555.5,1.9,,750.0,2400.0,
1184,"Bhima At Ferozabad Village (D/S),",River,KARNATAKA,2017,Safe,7.51,None,28.0,6.9,8.39,574.5,2.4,,295.0,1250.0,
1167,"Bhima At D/S Of Bdg. Near Yadgir,",River,KARNATAKA,2017,Unsafe,18.5,"High BOD, High Fecal Coliform, High Total Coliform",31.5,7.15,8.095,761.0,4.11,,1600.0,3720.0,
1888,Bhima River At Confluence Of Jewargi Town Sewage Disposal Point,River,KARNATAKA,2017,Safe,5.59,None,29.0,6.75,8.45,569.5,1.4,,370.0,1250.0,
1185,Ghatprabha At D/S Of Mudhol Rd. Cross Bdg.,River,KARNATAKA,2017,Unsafe,6.57,High Fecal Coliform,28.0,7.75,7.995,880.0,1.5,2.94,600.0,1050.0,
1163,"Ghatprabha At W.A. Point To Gokak Town,",River,KARNATAKA,2017,Safe,4.43,None,30.5,7.35,7.46,440.0,0.84,1.56,475.0,835.0,
1187,"Malprabha At D/S Of Khanapur Village,",River,KARNATAKA,2017,Unsafe,11.05,High Fecal Coliform,26.5,7.95,7.39,240.0,2.04,1.1,1150.0,2400.0,
1164,"Malprabha At Water Abstr. Pt. To Hubli, Dharwar,",River,KARNATAKA,2017,Unsafe,5.38,High Fecal Coliform,31.5,8.25,7.705,300.0,1.2,0.78,505.0,870.0,
1186,"Malprabha At D/S Of Aihole Town,",River,KARNATAKA,2017,Unsafe,7.1,High Fecal Coliform,28.0,8.0,7.625,790.0,1.6,1.51,550.0,1685.0,
2764,"Malprabha At Badami Bridge,",River,KARNATAKA,2017,Unsafe,7.32,High Fecal Coliform,27.0,8.3,7.65,785.0,1.7,1.4,555.0,1656.0,
1029,"Tungabhadra At Haralahalli Bridge,",River,KARNATAKA,2017,Unsafe,10.41,High Fecal Coliform,27.0,7.35,7.875,341.0,2.5,0.95,815.0,2000.0,
29,Tungabhadra At Ullanur,River,KARNATAKA,2017,Unsafe,5.68,High Fecal Coliform,24.0,7.1,7.7,334.0,0.0,0.215,1010.0,2050.0,
2767,"Tungabhadra At U/S Of Hpf,",River,KARNATAKA,2017,Unsafe,9.66,High Fecal Coliform,26.0,7.2,7.8,229.0,2.0,0.7,920.0,1925.0,
2768,"Tungabhadra At D/S Of Hpf,",River,KARNATAKA,2017,Unsafe,30.28,"High BOD, High Fecal Coliform, High Total Coliform",28.0,5.75,7.65,1490.0,9.3,0.7,1900.0,3350.0,
2769,"Tungabhadra At Jackwell Point,",River,KARNATAKA,2017,Unsafe,24.57,"High BOD, High Fecal Coliform, High Total Coliform",28.0,5.75,7.55,1432.0,7.25,0.65,1450.0,3350.0,
2770,"Tungabhadra At Harihar Water Supply Intake,",River,KARNATAKA,2017,Unsafe,49.99,"High BOD, High Fecal Coliform, High Total Coliform",26.5,6.7,7.75,240.0,4.5,0.9,48000.0,87000.0,
2776,"Tungabhadra At D/S Of Gangawathi,",River,KARNATAKA,2017,Unsafe,6.3,High Fecal Coliform,27.0,7.1,7.65,436.0,1.0,0.25,610.0,2050.0,
2766,"Tungabhadra At New Bridge,",River,KARNATAKA,2017,Unsafe,8.68,High Fecal Coliform,26.5,7.3,7.85,225.0,2.0,0.7,660.0,2000.0,
2766,Tungabhadra At Honnali Bridge,River,KARNATAKA,2017,Unsafe,16.3,"High Fecal Coliform, High Total Coliform",26.5,7.25,7.7,190.0,2.9,0.75,1515.0,4750.0,
1168,"Tunga At D/S Of Shimoga Town,",River,KARNATAKA,2017,Unsafe,46.77,"High BOD, High Fecal Coliform, High Total Coliform",25.5,7.0,7.87,207.5,3.05,0.73,50700.0,91750.0,
1896,Tungabhadra At Confluence Point Of Tunga And Bhadra At Kudli,River,KARNATAKA,2017,Unsafe,41.34,"High Fecal Coliform, High Total Coliform",27.0,7.0,7.7,145.5,3.0,0.75,8850.0,18350.0,
1091,Bhadra At Malleswaram D/S Of Kiocl,River,KARNATAKA,2017,Safe,5.02,None,23.5,5.67,7.45,159.0,1.5,0.35,218.0,1025.0,
1387,"Bhadra At D/S Of Bhadravathi,",River,KARNATAKA,2017,Unsafe,48.44,"High BOD, High Fecal Coliform, High Total Coliform",26.0,6.7,7.55,225.0,3.8,1.05,52500.0,94500.0,
1169,"Bhadra At D/S Of Kiocl Road Bridge, Near Holehunnur,",River,KARNATAKA,2017,Unsafe,46.88,"High BOD, High Fecal Coliform, High Total Coliform",26.0,7.3,7.57,225.0,3.1,0.575,15450.0,46100.0,
2765,"Bhadra At U/S Of Mpm,",River,KARNATAKA,2017,Safe,8.01,None,26.0,7.1,7.7,164.0,2.5,0.35,430.0,920.0,
2771,"Bhadra At U/S Of Kiocl,",River,KARNATAKA,2017,Safe,4.46,None,23.0,5.75,7.35,132.0,1.35,0.15,172.0,975.0,
2777,Kagina D/S Of Sewage Disposal Point,River,KARNATAKA,2017,Unsafe,8.31,High Fecal Coliform,27.0,7.0,8.3,466.5,2.4,,535.0,1050.0,
2777,"Kagina At Shahabad Bridge,",River,KARNATAKA,2017,Unsafe,14.05,"High BOD, High Fecal Coliform",27.5,6.35,8.3,453.0,4.85,,570.0,1250.0,
2763,"Asangi Nalla At Asangi Village,",River,KARNATAKA,2017,Safe,5.76,None,28.5,7.65,7.6,840.0,1.7,1.5,315.0,910.0,
1198,"Cauvery At Napokulu Bdg (D/S),",River,KARNATAKA,2017,Unsafe,9.42,High BOD,24.0,6.85,7.6,73.0,3.85,0.35,115.5,510.0,
1195,"Cauvery At Kushal Nagar U/S (Near Baichanahalli),",River,KARNATAKA,2017,Safe,5.73,None,25.5,6.75,7.65,94.0,1.9,0.1,194.0,915.0,
33,"Cauvery At Krs Dam, Balamurikshetra",River,KARNATAKA,2017,Safe,6.71,None,25.5,6.15,7.8,214.0,2.0,0.22,310.0,1290.0,
1386,"Cauvery At D/S Of Karekuara Village,",River,KARNATAKA,2017,Safe,5.64,None,25.5,6.9,7.9,233.0,1.75,0.35,205.5,1170.0,
1171,"Cauvery At Sri Rangapattanna, D/S Of Road Bdg.,",River,KARNATAKA,2017,Unsafe,9.34,High Fecal Coliform,26.5,5.8,7.7,234.0,2.4,0.075,535.0,2345.0,
34,Cauvery At Sathyagalam Bridge,River,KARNATAKA,2017,Safe,6.6,None,27.0,6.35,7.8,268.0,2.04,0.11,305.0,1065.0,
2773,"Cauvery At Bannur Bridge,",River,KARNATAKA,2017,Safe,6.87,None,28.0,6.2,7.75,304.0,2.15,0.2,245.0,1400.0,
